"";"Species";"MaxLength";"Type";"EstMaxLengthTL";"EstMaxLengthSL";"FB_Val";"OE";"FMorph"
"72";"Allotoca zacapuensis";3;"SL";3,66;3;3;"Observed_FB";NA
"73";"Atherinella balsana";NA;NA;10,6;8,69;NA;NA;NA
"74";"Aztecula sallaei";NA;NA;19,35;15,87;NA;NA;NA
"75";"Characodon audax";NA;NA;5,5;4,51;NA;NA;NA
"76";"Chirostoma consocium";NA;NA;17,38;14,25;NA;NA;NA
"77";"Chirostoma humboldtianum";20;"TL";20;16,4;16,4;"Estimated_FB";NA
"78";"Chirostoma jordani";NA;NA;17,38;14,25;NA;NA;NA
"79";"Chirostoma labarcae";NA;NA;17,38;14,25;NA;NA;NA
"80";"Ictalurus mexicanus";NA;NA;98,21;80,53;NA;NA;NA
"81";"Moxostoma austrinum";49;"TL";49;40,18;40,18;"Estimated_FB";NA
"82";"Notropis boucardi";NA;NA;7,96;6,53;NA;NA;NA
"83";"Poecilia chica";3;"TL";5;4,1;4,1;"Estimated_FB";NA
"84";"Poeciliopsis baenschi";2,5;"TL";6,49;5,32;5,32;"Estimated_FB";NA
"85";"Poeciliopsis turneri";3;"TL";6,49;5,32;5,32;"Estimated_FB";NA
"86";"Pseudoxiphophorus jonesii";9,19999980926514;"TL";9,2;7,54;7,54;"Estimated_FB";NA
"87";"Sicydium multipunctatum";NA;NA;20,35;16,69;NA;NA;NA
"88";"Skiffia lermae";5;"TL";5,67;4,65;4,65;"Estimated_FB";NA
"89";"Xenotaenia resolanae";4;"TL";5;4,1;4,1;"Estimated_FB";NA
"90";"Xiphophorus variatus";7;"TL";7;5,74;5,74;"Estimated_FB";NA
"91";"Yuriria chapalae";NA;NA;19,35;15,87;NA;NA;NA
"92";"Astyanax sp";NA;NA;NA;NA;NA;NA;NA
"93";"Gila sp";NA;NA;NA;NA;NA;NA;NA
"94";"Pseudoxiphophorus sp";NA;NA;NA;NA;NA;NA;NA
"95";"Chirostoma sp";NA;NA;NA;NA;NA;NA;NA
"96";"Oreochromis sp";NA;NA;NA;NA;NA;NA;NA
"97";"Poecilia sp";NA;NA;NA;NA;NA;NA;NA
"98";"Poeciliopsis sp";NA;NA;NA;NA;NA;NA;NA
