Species;MaxLength;Type;EstMaxLengthTL;EstMaxLengthSL;FB_Val;OE;FMorph;Miller;Final;Cat
Pseudoxiphophorus bimaculatus;7;TL;8,1;5,82;5,82;Estimated_FB;15;8;8;M
Nosferatu bartoni;18;SL;21,96;18;18;Observed_FB;18;18.2;18.2;M
Nosferatu labridens;25;SL;30,5;25;25;Observed_FB;25;12.2;25;O_FB
Algansea popoche;NA;NA;12,32;10,1;NA;NA;NA;25;25;M
Allodontichthys tamazulae;NA;NA;6,05;4,96;NA;NA;NA;7.3;7.3;M
Allotoca zacapuensis;3;SL;3,66;3;3;Observed_FB;NA;5;5;M
Atherinella balsana;NA;NA;10,6;8,69;NA;NA;NA;6.5 (menos de);6.5;M
Aztecula sallaei;NA;NA;19,35;15,87;NA;NA;NA;8.8;8.8;M
Characodon audax;NA;NA;5,5;4,51;NA;NA;NA;4.8;4.8;M
Chirostoma consocium;NA;NA;17,38;14,25;NA;NA;NA;21.8;21.8;M
Chirostoma humboldtianum;20;TL;20;16,4;16,4;Estimated_FB;NA;25;25;M
Chirostoma jordani;NA;NA;17,38;14,25;NA;NA;NA;9.1;9.1;M
Chirostoma labarcae;NA;NA;17,38;14,25;NA;NA;NA;12.1;12.1;M
Pseudoxiphophorus jonesii;9,19999980926514;TL;9,2;7,54;7,54;Estimated_FB;NA;7.7;7.7;M
Ictalurus mexicanus;NA;NA;98,21;80,53;NA;NA;NA;23.8;23.8;M
Moxostoma austrinum;49;TL;49;40,18;40,18;Estimated_FB;NA;NA;40.2;E_FB
Notropis boucardi;NA;NA;7,96;6,53;NA;NA;NA;6.6;6.6;M
Poecilia chica;3;TL;5;4,1;4,1;Estimated_FB;NA;4.6;4.6;M
Poeciliopsis baenschi;2,5;TL;6,49;5,32;5,32;Estimated_FB;NA;4.4;4.4;M
Poeciliopsis turneri;3;TL;6,49;5,32;5,32;Estimated_FB;NA;5;5;M
Sicydium multipunctatum;NA;NA;20,35;16,69;NA;NA;NA;13;13;M
Skiffia lermae;5;TL;5,67;4,65;4,65;Estimated_FB;NA;6.4;6.4;M
Xenotaenia resolanae;4;TL;5;4,1;4,1;Estimated_FB;NA;7.6;7.6;M
Xiphophorus variatus;7;TL;7;5,74;5,74;Estimated_FB;NA;5.1;5.7;E_FB
Yuriria chapalae;NA;NA;19,35;15,87;NA;NA;NA;18.2(H);18.2;M
Chirostoma aculeatum;NA;NA;17,38;14,25;NA;NA;NA;10.9;10.9;M
Chirostoma charari;NA;NA;NA;NA;NA;NA;NA;6.5;6.5;M
Astyanax sp;NA;NA;NA;NA;NA;NA;NA;;;
Gila sp;NA;NA;NA;NA;NA;NA;NA;;;
Pseudoxiphophorus sp;NA;NA;NA;NA;NA;NA;NA;;;
Chirostoma sp;NA;NA;NA;NA;NA;NA;NA;;;
Oreochromis sp;NA;NA;NA;NA;NA;NA;NA;;;
Poecilia sp;NA;NA;NA;NA;NA;NA;NA;;;
Poeciliopsis sp;NA;NA;NA;NA;NA;NA;NA;;;
