"";"Short";"Short2";"Genus_species";"Update1";"Update2";"Source1";"Source2";"Final"
"65";" D. mandibularis";"D  mandibularis";"Dionda mandibularis";"Tampichthys mandibularis";NA;"FishBase";NA;NA
"66";"encontrada seca";"encontrada seca";"none";NA;NA;NA;NA;NA
"67";" es la localidad?";"es la localidad ";"none";NA;NA;NA;NA;NA
"68";"G. affinis";"G  affinis";"Gambusia affinis";NA;NA;NA;NA;NA
"69";"  G. atripinnis";"G  atripinnis";"Goodea atripinnis";NA;NA;NA;NA;NA
"70";" G. atripinnis";"G  atripinnis";"Goodea atripinnis";NA;NA;NA;NA;NA
"71";"G. atripinnis";"G  atripinnis";"Goodea atripinnis";NA;NA;NA;NA;NA
"72";" G. cf. senilis";"G  cf  senilis";"Gambusia cf senilis";NA;NA;NA;NA;NA
"73";" G. cf. senilis (como exotico)";"G  cf  senilis  como exotico ";"Gambusia cf senilis";NA;NA;NA;NA;NA
"74";"G. fluviatilis";"G  fluviatilis";"Gobiesox fluviatilis";NA;NA;NA;NA;NA
"75";" G. multiradiatus";"G  multiradiatus";"Girardinichthys multiradiatus";NA;NA;NA;NA;NA
"76";"G. multiradiatus";"G  multiradiatus";"Girardinichthys multiradiatus";NA;NA;NA;NA;NA
"77";"(G. multiradiatus)";"G  multiradiatus ";"Girardinichthys multiradiatus";NA;NA;NA;NA;NA
"78";" G. viviparus";"G  viviparus";"Girardinichthys viviparus";NA;NA;NA;NA;NA
"79";"G. viviparus";"G  viviparus";"Girardinichthys viviparus";NA;NA;NA;NA;NA
"80";"G. yucatana";"G  yucatana";"Gambusia yucatana";NA;NA;NA;NA;NA
"81";" Gila sp.";"Gila sp ";"Gila sp";NA;NA;NA;NA;NA
"82";" H. bimaculata";"H  bimaculata";"Heterandria bimaculata";"Pseudoxiphophorus bimaculatus";NA;"FishBase";NA;NA
"83";"H. bimaculata";"H  bimaculata";"Heterandria bimaculata";"Pseudoxiphophorus bimaculatus";NA;"FishBase";NA;NA
