"Genus_species","Previous","Updated","Regional_Status","Comment","Authority","IUCN_Status","Family"
"Cyprinus carpio","Cyprinus carpio","no","Introduced",NA,"Cyprinus carpio Linnaeus, 1758","Vulnerable","Cyprinidae"
"Dajaus monticola","Agonostomus monticola","yes","Native",NA,"Dajaus monticola (Bancroft, 1834)","Least Concern","Mugilidae"
"Gambusia affinis","Gambusia affinis","no","Introduced",NA,"Gambusia affinis (Baird & Girard, 1853)","Least Concern","Poeciliidae"
"Gambusia senilis","Gambusia senilis","no","Native",NA,"Gambusia senilis Girard, 1859","Near Threatened","Poeciliidae"
"Gambusia yucatana","Gambusia yucatana","no","Introduced",NA,"Gambusia yucatana Regan, 1914","Least Concern","Poeciliidae"
"Gila sp","Gila sp","no","Native",NA,"Gila sp Baird & Girard, 1853",NA,"Cyprinidae"
"Girardinichthys multiradiatus","Girardinichthys multiradiatus","no","Native",NA,"Girardinichthys multiradiatus (Meek, 1904)","Endangered","Goodeidae"
"Girardinichthys turneri","Hubbsina turneri","yes","Native",NA,"Girardinichthys turneri (de Buen, 1940)","Critically Endangered","Goodeidae"
"Girardinichthys viviparus","Girardinichthys viviparus","no","Native",NA,"Girardinichthys viviparus (Bustamante, 1837)","Endangered","Goodeidae"
"Gobiesox fluviatilis","Gobiesox fluviatilis","no","Extirpated",NA,"Gobiesox fluviatilis Briggs & Miller, 1960","Vulnerable","Gobiesocidae"
"Goodea atripinnis","Goodea atripinnis","no","Native",NA,"Goodea atripinnis Jordan, 1880","Least Concern","Goodeidae"
"Herichthys bartoni","Cichlasoma bartoni","yes","Native",NA,"Herichthys bartoni (Bean, 1892)","Endangered","Cichlidae"
"Herichthys cyanoguttatus","Herichthys cyanoguttatus","no","Native",NA,"Herichthys cyanoguttatus Baird & Girard, 1854","Least Concern","Cichlidae"
"Herichthys labridens","Cichlasoma labridens","yes","Native",NA,"Herichthys labridens (Pellegrin, 1903)","Endangered","Cichlidae"
"Ictalurus dugesii","Ictalurus dugesii","no","Extirpated",NA,"Ictalurus dugesii (Bean, 1880)","Data Deficient","Ictaluridae"
"Ictalurus mexicanus","Ictalurus mexicanus","no","Extirpated",NA,"Ictalurus mexicanus (Meek, 1904)","Vulnerable","Ictaluridae"
"Ilyodon furcidens","Ilyodon furcidens","no","Native",NA,"Ilyodon furcidens (Jordan & Gilbert, 1882)","Least Concern","Goodeidae"
"Ilyodon whitei","Ilyodon whitei","no","Native",NA,"Ilyodon whitei (Meek, 1904)","Least Concern","Goodeidae"
"Lepomis macrochirus","Lepomis macrochirus","no","Introduced",NA,"Lepomis macrochirus Rafinesque, 1819","Least Concern","Centrarchidae"
"Mayaheros beani","Cichlasoma beani","yes","Extirpated","Said to be found in 2005 in paper 2018","Mayaheros beani (Jordan, 1889)","Least Concern","Cichlidae"
"Micropterus salmoides","Micropterus salmoides","no","Introduced",NA,"Micropterus salmoides (Lacepède, 1802)","Least Concern","Centrarchidae"
