"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"16",3,"03",2005,"arroyo Los Pajaritos","rio Balsas","Arroyo Los Pajaritos",18.51,-98.78,"UMMZ 181313","UMMZ - RRM63-5 ","RR Miller","A. balsana, A. 'fasciatus', C. istlanum, H. boucardi, I. whitei, P. balsas, P. 'sphenops'","7","A. balsana, A. 'fasciatus', C. istlanum, H. boucardi, I. whitei, P. balsas, Poecilia cf. sphenops","7","0",NA,"1963",1,"C. istlanum, Poecilia cf. sphenops","2",0,"–","1","H. bimaculata, O. aureus, P. gracilis","3","0.2857142857142857",NA,NA,NA,"Impounded stream","Balsas River","Los Pajaritos Stream"
"21",3,"03",2005,"lago de Zumpango","de Mexico","Lago de Zumpango",19.77,-99.12,"UMMZ 196678","UMMZ - RRM74-47","RR Miller","A. sallaei, G. viviparus, M. jordani","3","A. sallaei, G. viviparus, M. jordani","3","0",NA,"1974",1,"M. jordani","1",0,"–","1",NA,"0","0.33333333333333331",NA,"G. viviparus?",NA,"Shallow lake","Valley of Mexico","Zumpango Lake"
"22",3,"03",2005,"canales de Xochimilco","de Mexico","Canales de Xochimilco cerca del embarcadero Caltongo",19.26,-99.09,"UMMZ 108631","UMMZ - CLT32-43A ","Turner","G. viviparus","1","G. viviparus, M. jordani","2","1",NA,"1932",1,"ninguno","0",1,"1","1","C. carpio, G. atripinnis, H. jonesii, O. aureus, Poeciliopsis sp., X. hellerii","6","0",NA,NA,NA,"Open canals shallow lake","Valley of Mexico","Xochimilco Canals"
"23",3,"04",2005,"lago de Chalco","de Mexico","Lago de Chalco",19.26,-98.97,"1.USNM 44156  2.UMMZ 189665  3. UMMZ 201547","USNM - 44156 / UMMZ - Z189665 / UMMZ - MLS77-4","AJ Woolman / SE Meek / ML Smith","G. viviparus","1","G. viviparus, M. jordani","2","1",NA,"1891 / 1901 / 1977",3,"G. viviparus","1",1,"1","1","G. atripinnis","1","0.5",NA,NA,NA,"Shallow lake","Valley of Mexico","Lake Chalco"
"24",4,"04",2005,"lago de Yuriria","lago de Yuriria","Lago de Yuriria",20.23,-101.18,"UMMZ 189051","UMMZ - RRM68-25 ","RR Miller","A. dugesii, A. robustus, A. tincella, G. atripinnis, M. jordani, P. infans, S. bilineata, X. variata","8","A. dugesii, A. robustus, A. tincella, G. atripinnis, H. turneri, I. dugesii, M. jordani, P. infans, S. bilineata, X. variata","10","2",NA,"1968",1,"A. robustus, G. atripinnis, P. infans, S. bilineata, X. variata, M. jordani","6",2,"2","1","O. aureus","1","0.6","carpas, 'trompos'",NA,"El unico de los lagos, aparte de Zacapu, con un muestreo razonablemente representativo","Shallow lake","Lake Yuriria","Lake Yuriria"
"26",4,"04",2005,"canales en Zinzimeo","lago de Cuitzeo","canales en Zinzimeo",19.87,-100.98,"UMMZ 233562","UMMZ - DLST77-13 ","Soltz, Smith & Turner","A. dugesii, A. robustus, G. atripinnis, H. turneri, M. jordani, P. infans, S. bilineata, S. lermae, X. variata, Z. quitzeoensis","10","A. dugesii, A. robustus, G. atripinnis, H. turneri, M. jordani, P. infans, S. bilineata, S. lermae, X. variata, Z. quitzeoensis","10","0","O. aureus","1977",1,"A. dugesii, G. atripinnis, P. infans, S. bilineata, Z. quitzeoensis","5",0,"–","1","H. bimaculata, O. aureus, P. sphenops, X. hellerii","4","0.5",NA,NA,NA,"Irrigation canals","Lake Cuitzeo","Zinzimeo Canals"
"28",5,"06",2005,"laguna de La Minzita","lago de Cuitzeo","Laguna de La Minzita",19.645,-101.275,"UMMZ 188803","UMMZ - Z188803 / UMMZ - RRM68-23","G Mendoza, RR Miller","X. variata","1","A. robustus, G. atripinnis, H. calientis, H. turneri, P. infans, S. bilineata, S. lermae, X. variata, Z. quitzeoensis","9","8",NA,"1962",1,"A. robustus, G. atripinnis, P. infans, S. lermae, X. variata, Z. quitzeoensis","6",8,"8","1","X. hellerii","1","0.66666666666666663",NA,NA,"UMMZ 188803 es una colecta extraña. una especie no capturada: probablemente Y. alta","Springs forming small shallow lake","Lake Cuitzeo","La Minzita Lagoon"
"29",5,"06",2005,"lago de Zacapu","medio Lerma","Laguna de Zacapu en Zacapu",19.82,-101.79,"UMMZ 233535","UMMZ - CDB69-85 / UMMZ - DLST77-15 ","Clyde Barbour, Soltz, Smith & Turner","A. dugesii, A. tincella, G. atripinnis, H. turneri, S. lermae, X. variata, Z. quitzeoensis","7","A. dugesii, A. robustus, A. tincella, A. zacapuensis, G. atripinnis, H. calientis, H. turneri, M. humboldtiana, P. infans, S. lermae, X. variata, Z. quitzeoensis","12","5",NA,"1969 / 1977",2,"A. robustus, G. atripinnis, H. calientis, H. turneri, Menidia sp., P. infans, S. lermae, X. variata, Z. quitzeoensis","9",4,"4",NA,NA,"0","0.75",NA,NA,"Es probable que el registro de A. dugesii corresponda en realidad a A. zacapuensis. Este lago, como Yuriria, si fue razonablemente bien muestreado","Shallow lake","Middle Lerma","Zacapu Lake"
"31",5,"06",2005,"manantial Molino de Chapultepec","lago de Patzcuaro","Manantial Molino de Chapultepec",19.57,-101.52,"UMMZ 173962","UMMZ - Z173962 / UMMZ - D*K78-2 / UMMZ - DLST77-11 / UMMZ - RRM76-17","G Mendoza, D Kingston, Soltz, Smith & Turner, RR Miller","S. lermae","1","A. diazi, G. atripinnis, S. lermae, A. dugesii, (A. robustus?, X. variata","6","5",NA,"1956 / 1976 / 1977 / 1978",4,"A. diazi, A. dugesii, G. atripinnis, S. lermae, X. variata","5",5,"5",NA,NA,"0","0.83333333333333337",NA,NA,"UMMZ 173962 es una colecta muy extraña. Considero a A. robustus como un esperado valido pero no a Z. quitzeoensis, ambos datos de LCAIE","Spring","Lake Patzcuaro","Spring outside of Molino de Chapultepec"
"33",5,"06",2005,"P. de Sta Catarina","rio Balsas","Presa de Santa Catarina",19.42,-102.02,"UMMZ 189093","UMMZ - Z189093","SP Hubbell","A. catarinae","1","A. catarinae, I. whitei","2","1",NA,"1970",1,"A. catarinae, I. whitei","2",1,"1","1",NA,"0","1","peces 'limpiadores', trucha arcoiris",NA,NA,"Impounded outflow system of springs","Balsas River","Santa Catarina Reservoir"
"36",6,"07",2005,"rio Tunal","rio San Pedro Mezquital","Rio Tunal",24.03,-104.56,"UMMZ 166708","UMMZ - PRN52-23 ","PR Needham","C. lateralis","1","C. lateralis","1","0",NA,"1952",1,"ninguno","0",0,"–","1","C. carpio, L. macrochirus, M. salmoides, O. aureus, P. nigromaculatus","5","0",NA,NA,NA,"Stream","San Pedro Mezquital River","Tunal River"
"37",6,"07",2005,"manantial en Los Berros","rio San Pedro Mezquital","Manantial en Los Berros",24.32,-104.72,"UMMZ 160880","UMMZ - RGMX46-6 ","RG Miller","C. lateralis","1","C. lateralis, G. cf. senilis","2","1",NA,"1946",1,"C. lateralis, G. cf. senilis","2",1,"1",NA,"X. hellerii, O. aureus","2","1",NA,NA,NA,"Spring","San Pedro Mezquital River","Spring at Los Berros"
"39",6,"07",2005,"rio El Mimbre","rio San Pedro Mezquital","Rio El Mimbre",24.62,-104.83,"UMMZ 211091","UMMZ - RRM82-65 ","RR Miller","C. lateralis, Gila sp., M. mezquital","3","C. lateralis, Gila sp., M. mezquital","3","0","L. macrochirus","1982",1,"C. lateralis, Gila sp.","2",0,"–","1",NA,"0","0.66666666666666663",NA,NA,NA,"Stream","San Pedro Mezquital River","El Mimbre River"
