"","Short","Short2","Genus_species","Synonym","Update","Update_comment","Genus_species_ECF"
"62","C. pardalis","C  pardalis","Chapalichthys pardalis","FALSE",NA,NA,"Chapalichthys pardalis"
"63"," C. tessellatus","C  tessellatus","Cualac tessellatus","FALSE",NA,NA,"Cualac tessellatus"
"64","carpa","carpa","Cyprinus carpio","FALSE",NA,NA,"Cyprinus carpio"
"65","carpas","carpas","Cyprinus carpio","FALSE",NA,NA,"Cyprinus carpio"
"66","confirmamos la presencia de Z. tequila y A. splendens","confirmamos la presencia de Z  tequila y A  splendens","Zoogoneticus tequila y Ameca splendens","FALSE",NA,NA,"Zoogoneticus tequila y Ameca splendens"
"67"," D. dichroma","D  dichroma","Dionda dichroma","TRUE","Tampichthys dichroma",NA,"Tampichthys dichroma"
"68"," D. mandibularis","D  mandibularis","Dionda mandibularis","TRUE","Tampichthys mandibularis",NA,"Tampichthys mandibularis"
"69","encontrada seca","encontrada seca","Dry",NA,NA,NA,"Dry"
"70"," es la localidad?","es la localidad ","is the locality",NA,NA,NA,"is the locality"
"71","G. affinis","G  affinis","Gambusia affinis","FALSE",NA,NA,"Gambusia affinis"
"72","  G. atripinnis","G  atripinnis","Goodea atripinnis","FALSE",NA,NA,"Goodea atripinnis"
"73"," G. atripinnis","G  atripinnis","Goodea atripinnis","FALSE",NA,NA,"Goodea atripinnis"
"74","G. atripinnis","G  atripinnis","Goodea atripinnis","FALSE",NA,NA,"Goodea atripinnis"
"75"," G. cf. senilis","G  cf  senilis","Gambusia cf senilis","FALSE",NA,NA,"Gambusia cf senilis"
"76","G. fluviatilis","G  fluviatilis","Gobiesox fluviatilis","FALSE",NA,NA,"Gobiesox fluviatilis"
"77"," G. multiradiatus","G  multiradiatus","Girardinichthys multiradiatus","FALSE",NA,NA,"Girardinichthys multiradiatus"
"78","G. multiradiatus","G  multiradiatus","Girardinichthys multiradiatus","FALSE",NA,NA,"Girardinichthys multiradiatus"
"79","(G. multiradiatus)","G  multiradiatus ","Girardinichthys multiradiatus","FALSE",NA,NA,"Girardinichthys multiradiatus"
"80"," G. viviparus","G  viviparus","Girardinichthys viviparus","FALSE",NA,NA,"Girardinichthys viviparus"
"81","G. viviparus","G  viviparus","Girardinichthys viviparus","FALSE",NA,NA,"Girardinichthys viviparus"
"82","G. yucatana","G  yucatana","Gambusia yucatana","FALSE",NA,NA,"Gambusia yucatana"
"83"," Gila sp.","Gila sp ","Gila sp","FALSE",NA,NA,"Gila sp"
"84"," H. bimaculata","H  bimaculata","Heterandria bimaculata","TRUE","Pseudoxiphophorus bimaculatus",NA,"Pseudoxiphophorus bimaculatus"
"85","H. bimaculata","H  bimaculata","Heterandria bimaculata","TRUE","Pseudoxiphophorus bimaculatus",NA,"Pseudoxiphophorus bimaculatus"
"86"," H. boucardi","H  boucardi","Hybopsis boucardi","TRUE","Notropis boucardi",NA,"Notropis boucardi"
"87","H. boucardi","H  boucardi","Hybopsis boucardi","TRUE","Notropis boucardi",NA,"Notropis boucardi"
"88","H. burtoni","H  burtoni","Haplochromis burtoni","TRUE","Astatotilapia burtoni",NA,"Astatotilapia burtoni"
"89"," H. calientis","H  calientis","Hybopsis calientis","TRUE","Notropis calientis",NA,"Notropis calientis"
"90","H. cf. cyanoguttatus","H  cf  cyanoguttatus","Herichthys cf cyanoguttatus","FALSE",NA,NA,"Herichthys cf cyanoguttatus"
"91","H. cyanoguttatus","H  cyanoguttatus","Herichthys cyanoguttatus","FALSE",NA,NA,"Herichthys cyanoguttatus"
"92"," H. jonesii","H  jonesii","Heterandria jonesii","TRUE","Pseudoxiphophorus jonesii",NA,"Pseudoxiphophorus jonesii"
"93","H. jonesii","H  jonesii","Heterandria jonesii","TRUE","Pseudoxiphophorus jonesii",NA,"Pseudoxiphophorus jonesii"
"94"," H. turneri","H  turneri","Hubbsina turneri","FALSE",NA,NA,"Hubbsina turneri"
"95","Heterandria sp.","Heterandria sp","Heterandria sp","TRUE","Pseudoxiphophorus sp",NA,"Pseudoxiphophorus sp"
"96"," Heterandria sp.","Heterandria sp ","Heterandria sp","TRUE","Pseudoxiphophorus sp",NA,"Pseudoxiphophorus sp"
"97"," I. dugesii","I  dugesii","Ictalurus dugesii","FALSE",NA,NA,"Ictalurus dugesii"
"98"," I. furcidens","I  furcidens","Ilyodon furcidens","FALSE",NA,NA,"Ilyodon furcidens"
"99","I. furcidens","I  furcidens","Ilyodon furcidens","FALSE",NA,NA,"Ilyodon furcidens"
"100"," I. mexicanus","I  mexicanus","Ictalurus mexicanus","FALSE",NA,NA,"Ictalurus mexicanus"
"101"," I. whitei","I  whitei","Ilyodon whitei","FALSE",NA,NA,"Ilyodon whitei"
