"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"1",1,"01",2005,"rio Marabasco","rio Cihuatlan","Rio Marabasco",19.31,-104.26,"UMMZ 166456","-","-","(?)",NA,"-","-","-",NA,NA,NA,"nada (localidad no propicia)",NA,NA,NA,NA,NA,NA,"-",NA,NA,"No incluida en el conjunto final de 56","Stream","Cihuatlan River","Marabasco River"
"2",2,"02",2005,"rio Coscomate","alto Lerma","Rio Coscomate en Jilotepec",19.94,-99.53,"LCAIE","-","-","(G. multiradiatus)","1","(G. multiradiatus)","1","0",NA,NA,NA,"nada","0",0,"–",NA,NA,"0","-",NA,NA,"No incluida en el conjunto final de 56","Stream","Upper Lerma","Coscomate River"
"3",2,"02",2005,"canales en El Porvenir","alto Lerma","Rio Hidalgo en Ex-Hacienda El Porvenir",19.68,-100.64,"LCAIE","-","-","(G. multiradiatus)","1","(G. multiradiatus)","1","0",NA,NA,NA,"G. multiradiatus","1",0,"–",NA,NA,"0","1",NA,NA,NA,"Irrigation canals","Upper Lerma","Canals at El Porvenir"
"4",2,"02",2005,"P. San Juanico","alto Lerma","Presa San Juanico",19.93,-99.79,"LCAIE","-","-","(G. multiradiatus)","1","(G. multiradiatus), M. riojai","2","1",NA,NA,NA,"M. riojai","1",1,"1","1","C. auratus, C. carpio","2","0.5",NA,NA,NA,"Reservoir","Upper Lerma","P. San Juanico"
"5",3,"03",2005,"rio Nexapa","rio Balsas","Rio Nexapa en La Galarza",18.67,-98.45,"LCAIE","-","-","(C. istlanum, I. whitei, P. balsas)","3","(C. istlanum, I. whitei, P. balsas), H. boucardi","4","1",NA,NA,NA,"H. boucardi","1",1,"1",NA,"Heterandria sp., P. reticulata","2","0.25",NA,NA,NA,"Small river","Balsas River","Nexapa River"
"6",4,"04",2005,"lago de Cuitzeo","lago de Cuitzeo","Lago de Cuitzeo en La Palma",19.92,-101.14,"UMMZ 189043","-","-","A. robustus, G. atripinnis, H. turneri, M. jordani, P. infans,  X. variata","6","?","?","-",NA,"1968",1,"G. atripinnis, M. jordani, S. bilineata","3",NA,NA,NA,"G. affinis, O. aureus, P. sphenops","3",NA,NA,NA,"No incluida en el conjunto final de 56. Es dificil definir cual puede ser el pool de especies esperadas para este punto","Shallow lake","Lake Cuitzeo","Lake Cuitzeo"
"7",4,"04",2005,"P. Cointzio","lago de Cuitzeo","Presa Cointzio",19.6,-101.285,"UMMZ 172181","UMMZ - RRM55-58 ","RR Miller","A. robustus, A. sallaei, G. atripinnis, H. calientis, P. infans, Z. quitzeoensis","6","?","?","-","O. aureus (sin georreferencia), C. carpio (sin georreferencia)","1955",1,"G. atripinnis, P. infans","2",NA,NA,NA,"C. carpio, M. chapalae, O. aureus","3",NA,NA,NA,"No incluida en el conjunto final de 56. Es dificil definir cual puede ser el pool de especies esperadas para este punto","Reservoir","Lake Cuitzeo","P. Cointzio"
"8",5,"06",2005,"lago de Patzcuaro","lago de Patzcuaro","Lago de Patzcuaro en Puacuaro",19.61,-101.67,"UMMZ 65230","UMMZ - Z65230 ","SE Meek","S. lermae","1","?","?","-","M. salmoides","?",NA,"A. robustus, G. atripinnis, M. patzcuaro, M. estor, P. infans","5",NA,NA,NA,"C. carpio, M. salmoides","2",NA,NA,NA,"No incluida en el conjunto final de 56. Es dificil definir cual puede ser el pool de especies esperadas para este punto","Shallow lake","Lake Patzcuaro","Patzcuaro Lake"
"9",5,"06",2005,"lago de Zirahuen","lago de Zirahuen","Lago de Zirahuen en Aguaverde",19.42,-101.75,"UMMZ 198815","UMMZ - RRM76-18 ","RR Miller","A. dugesii, A. meeki, A. robustus, M. attenuata","4","?","?","-",NA,"1976",1,"M. attenuata","1",NA,NA,NA,NA,"0",NA,NA,"A. meeki","No incluida en el conjunto final de 56. Es dificil definir cual puede ser el pool de especies esperadas para este punto.","Lake","Lake Zirahuen","Zirahuen Lake"
"10",6,"07",2005,"manantial cerca de Illescas","El Salado","manantial cerca de Illescas",23.23,-102.14,"UMMZ 189575","-","RR Miller & JM Fitzsimons","X. captivus","1","X. captivus","1","0",NA,"1970",NA,"nada, es la localidad?","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Stream","El Salado","Unnamed spring outside Illescas"
"11",6,"07",2005,"laguna El Barril","El Salado","Laguna El Barril en El Barril",23.08,-102.16,"-","-","-","-","-",NA,NA,"-",NA,NA,NA,"ninguno",NA,NA,NA,NA,"C. auratus","1","-",NA,NA,"No incluida en el conjunto final de 56","Stream","El Salado","El Barril Lagoon"
"12",7,"09",2005,"manantial/balneario El Rincon","rio Ameca","manantial/balneario en Teuchitlan",20.68,-103.85,"-","-","-","A. splendens, S. francesae, X. melanosoma, Z. tequila","4","A. splendens, S. francesae*, X. melanosoma, Z. tequila","4","0",NA,NA,NA,"confirmamos la presencia de Z. tequila y A. splendens",NA,0,"–",NA,"observamos Oreochromis, Poecilia sp., P. reticulata",".","-",NA,"S. francesae","No incluida en el conjunto final de 56","Modified spring","Ameca River","Manantial/balneario El Rincon"
"13",8,"10",2005,"rio en 6 de Enero","rio Gde. de Santiago","rio en Colonia 6 de Enero",21.53,-104.8,"LCAIE","-","-","?","?","?",NA,"-",NA,NA,NA,"P. butleri, P. viriosa, X. eiseni","3",NA,NA,NA,"P. reticulata","1",NA,NA,NA,"No incluida en el conjunto final de 56. Es dificil definir cual puede ser el pool de especies esperadas para este punto",NA,"Grande de Santiago River","River at 6 de Enero"
"14",9,"10",2005,"presa sobre el rio Carrizal","rio Panuco","presa sobre el rio Carrizal",21.8,-100.8,"UMMZ 186284","-","RR Miller & JM Fitzsimons",NA,NA,NA,NA,"0",NA,"1966",NA,"nada, no era la localidad buscada",NA,0,"–",NA,NA,NA,"-",NA,NA,"No incluida en el conjunto final de 56",NA,"Panuco River","Reservoir above the Carrizal River"
