"Order","Family","Authority","Previous","Updated","Regional_Status","Comment"
"Cichliformes","Cichlidae","Mayaheros beani (Jordan, 1889)","Cichlasoma beani","yes","Native",NA
"Perciformes","Centrarchidae","Micropterus salmoides (Lacepède, 1802)","Micropterus salmoides","no","Introduced",NA
"Cypriniformes","Catostomidae","Moxostoma austrinum Bean, 1880","Scartomyzon austrinus","yes","Native",NA
"Cypriniformes","Leuciscidae","Notropis amecae Chernoff & Miller, 1986","Notropis amecae","no","Native",NA
"Cypriniformes","Leuciscidae","Notropis boucardi (Günther, 1868)","Hybopsis boucardi","yes","Native",NA
"Cypriniformes","Leuciscidae","Notropis calientis Jordan & Snyder, 1899","Hybopsis calientis","yes","Native",NA
"Perciformes","Cichlidae","Oreochromis aureus (Steindachner, 1864)","Oreochromis aureus","no","Introduced",NA
"Perciformes","Cichlidae","Oreochromis mossambicus (Peters, 1852)","Oreochromis mossambicus","no","Introduced",NA
"Perciformes","Cichlidae","Oreochromis niloticus (Linnaeus, 1758)","Oreochromis niloticus","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Poecilia butleri Jordan, 1889","Poecilia butleri","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poecilia chica Miller, 1975","Poecilia chica","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poecilia mexicana Steindachner, 1863","Poecilia mexicana","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poecilia reticulata Peters, 1859","Poecilia reticulata","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Poecilia sphenops Valenciennes, 1846","Poecilia sphenops","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis baenschi Meyer, Radda, Riehl & Feichtinger, 1986","Poeciliopsis baenschi","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis balsas Hubbs, 1926","Poeciliopsis balsas","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis gracilis (Heckel, 1848)","Poeciliopsis gracilis","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis infans (Woolman, 1894)","Poeciliopsis infans","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis turneri Miller, 1975","Poeciliopsis turneri","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis turrubarensis (Meek, 1912)","Poeciliopsis turrubarensis","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Poeciliopsis viriosa Miller, 1960","Poeciliopsis viriosa","no","Native",NA
"Perciformes","Centrarchidae","Pomoxis nigromaculatus (Lesueur, 1829)","Pomoxis nigromaculatus","no","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Pseudoxiphophorus bimaculatus (Heckel, 1848)","Heterandria bimaculata","yes","Introduced",NA
"Cyprinodontiformes","Poeciliidae","Pseudoxiphophorus jonesii (Günther, 1874)","Heterandria jonesii","yes","Introduced",NA
"Perciformes","Gobiidae","Sicydium multipunctatum Regan, 1906","Sicydium multipunctatum","no","Native",NA
"Cyprinodontiformes","Goodeidae","Skiffia bilineata (Bean, 1887)","Skiffia bilineata","no","Native",NA
"Cyprinodontiformes","Goodeidae","Skiffia lermae Meek, 1902","Skiffia lermae","no","Native",NA
